value,adsh,fp,fy
114169000,0000929940-19-000038,FY,2019
140423000,0000929940-19-000038,FY,2019
147984000,0000929940-19-000038,FY,2019
195769000,0000929940-19-000038,FY,2019
0,0001625376-19-000017,FY,2018
0,0001625376-19-000017,FY,2018
378206000,0001193125-19-243868,FY,2019
276928000,0001193125-19-243868,FY,2019
347302000,0001193125-19-243868,FY,2019
2220300000,0001558370-19-008467,FY,2019
643100000,0001558370-19-008467,FY,2019
2602500000,0001558370-19-008467,FY,2019
653100000,0001558370-19-008467,FY,2019
649000000,0001558370-19-008467,FY,2019
657300000,0001558370-19-008467,FY,2019
641100000,0001558370-19-008467,FY,2019
2578000000,0001558370-19-008467,FY,2019
639100000,0001558370-19-008467,FY,2019
647200000,0001558370-19-008467,FY,2019
650600000,0001558370-19-008467,FY,2019
2220300000,0001558370-19-008465,FY,2019
643100000,0001558370-19-008465,FY,2019
2602500000,0001558370-19-008465,FY,2019
653100000,0001558370-19-008465,FY,2019
649000000,0001558370-19-008465,FY,2019
657300000,0001558370-19-008465,FY,2019
641100000,0001558370-19-008465,FY,2019
2578000000,0001558370-19-008465,FY,2019
639100000,0001558370-19-008465,FY,2019
647200000,0001558370-19-008465,FY,2019
650600000,0001558370-19-008465,FY,2019
258000,0001262463-19-000302,FY,2018
9101000000,0001748790-19-000003,FY,2019
2251100000,0001748790-19-000003,FY,2019
2251100000,0001748790-19-000003,FY,2019
2364100000,0001748790-19-000003,FY,2019
2452800000,0001748790-19-000003,FY,2019
9319100000,0001748790-19-000003,FY,2019
2262400000,0001748790-19-000003,FY,2019
2287200000,0001748790-19-000003,FY,2019
2312300000,0001748790-19-000003,FY,2019
2596300000,0001748790-19-000003,FY,2019
9458200000,0001748790-19-000003,FY,2019
1815978,0001091818-19-000215,FY,2018
NULL,0001091818-19-000215,FY,2018
1197509000,0000866273-19-000094,FY,2019
269910000,0000866273-19-000094,FY,2019
282911000,0000866273-19-000094,FY,2019
245645000,0000866273-19-000094,FY,2019
293087000,0000866273-19-000094,FY,2019
1091553000,0000866273-19-000094,FY,2019
318511000,0000866273-19-000094,FY,2019
340568000,0000866273-19-000094,FY,2019
358887000,0000866273-19-000094,FY,2019
398714000,0000866273-19-000094,FY,2019
1416680000,0000866273-19-000094,FY,2019
647270000,0001564590-19-033600,FY,2019
678912000,0001564590-19-033600,FY,2019
708804000,0001564590-19-033600,FY,2019
NULL,0001553350-19-000895,FY,2018
NULL,0001553350-19-000895,FY,2018
NULL,0001607062-19-000350,FY,2019
NULL,0001607062-19-000350,FY,2019
71579000,0001144204-19-043033,FY,2019
74753000,0001144204-19-043033,FY,2019
57434000,0001144204-19-043035,FY,2019
60205000,0001144204-19-043035,FY,2019
57099000,0001144204-19-043034,FY,2019
59881000,0001144204-19-043034,FY,2019
17650,0001678848-19-000013,FY,2019
0,0001678848-19-000013,FY,2019
27555845,0001144204-19-041558,FY,2018
8243566,0001144204-19-041558,FY,2018
444000,0001144204-19-041659,FY,2019
2018000,0001144204-19-041659,FY,2019
41018000,0001690769-19-000059,FY,2018
82200000,0001690769-19-000059,FY,2018
139804000,0001690769-19-000059,FY,2018
204955000,0001690769-19-000059,FY,2018
467977000,0001690769-19-000059,FY,2018
243200000,0001633978-19-000069,FY,2019
404600000,0001633978-19-000069,FY,2019
298800000,0001633978-19-000069,FY,2019
301100000,0001633978-19-000069,FY,2019
354100000,0001633978-19-000069,FY,2019
373700000,0001633978-19-000069,FY,2019
432900000,0001633978-19-000069,FY,2019
404600000,0001633978-19-000069,FY,2019
9683000,0000898770-19-000048,FY,2019
11119000,0000898770-19-000048,FY,2019
9427000,0000898770-19-000048,FY,2019
9912000,0000898770-19-000048,FY,2019
10293000,0000898770-19-000048,FY,2019
12394000,0000898770-19-000048,FY,2019
9451000,0000898770-19-000048,FY,2019
12174000,0000898770-19-000048,FY,2019
23249000,0001193125-19-232454,FY,2019
283000,0001193125-19-232454,FY,2019
358000,0001193125-19-232454,FY,2019
433000,0001193125-19-232454,FY,2019
548000,0001193125-19-232454,FY,2019
1622000,0001193125-19-232454,FY,2019
488000,0001193125-19-232454,FY,2019
2049000,0001193125-19-232454,FY,2019
1249000,0001193125-19-232454,FY,2019
1129000,0001193125-19-232454,FY,2019
4915000,0001193125-19-232454,FY,2019
54000,0001144204-19-042110,FY,2019
3456000,0001144204-19-042110,FY,2019
2075400000,0001596783-19-000183,FY,2019
543900000,0001596783-19-000183,FY,2019
606300000,0001596783-19-000183,FY,2019
627900000,0001596783-19-000183,FY,2019
685300000,0001596783-19-000183,FY,2019
2463400000,0001596783-19-000183,FY,2019
551800000,0001596783-19-000183,FY,2019
623000000,0001596783-19-000183,FY,2019
617500000,0001596783-19-000183,FY,2019
725700000,0001596783-19-000183,FY,2019
2518000000,0001596783-19-000183,FY,2019
1786103000,0000014195-19-000027,FY,2019
1881294000,0000014195-19-000027,FY,2019
1836605000,0000014195-19-000027,FY,2019
1907218000,0000812011-19-000077,FY,2019
220850000,0000812011-19-000077,FY,2019
734575000,0000812011-19-000077,FY,2019
844491000,0000812011-19-000077,FY,2019
211637000,0000812011-19-000077,FY,2019
2011553000,0000812011-19-000077,FY,2019
220004000,0000812011-19-000077,FY,2019
849578000,0000812011-19-000077,FY,2019
957987000,0000812011-19-000077,FY,2019
244006000,0000812011-19-000077,FY,2019
2271575000,0000812011-19-000077,FY,2019
15082000,0001564590-19-035765,FY,2019
14084000,0001564590-19-035765,FY,2019
15541000,0001564590-19-035765,FY,2019
6473000,0001564590-19-035765,FY,2019
2091000,0001564590-19-035765,FY,2019
-448000,0001564590-19-035765,FY,2019
2523000,0001564590-19-035765,FY,2019
1769000,0001564590-19-035765,FY,2019
51180000,0001564590-19-035765,FY,2019
5935000,0001564590-19-035765,FY,2019
4927000,0001564590-19-035765,FY,2019
5837000000,0000016732-19-000070,FY,2019
1638000000,0000016732-19-000070,FY,2019
1614000000,0000016732-19-000070,FY,2019
1618000000,0000016732-19-000070,FY,2019
1745000000,0000016732-19-000070,FY,2019
6615000000,0000016732-19-000070,FY,2019
2202000000,0000016732-19-000070,FY,2019
2172000000,0000016732-19-000070,FY,2019
1953000000,0000016732-19-000070,FY,2019
1780000000,0000016732-19-000070,FY,2019
8107000000,0000016732-19-000070,FY,2019
5745,0001391609-19-000152,FY,2019
5269,0001391609-19-000152,FY,2019
36212000000,0000021344-19-000039,FY,2018
34300000000,0000021344-19-000039,FY,2018
41863000000,0000021344-19-000039,FY,2018
28018441,0001144204-19-045246,FY,2019
28793922,0001144204-19-045246,FY,2019
2930758,0001017386-19-000258,FY,2019
1009394,0001017386-19-000258,FY,2019
135786000,0000023197-19-000075,FY,2019
139028000,0000023197-19-000075,FY,2019
127792000,0000023197-19-000075,FY,2019
147762000,0000023197-19-000075,FY,2019
550368000,0000023197-19-000075,FY,2019
121569000,0000023197-19-000075,FY,2019
133731000,0000023197-19-000075,FY,2019
147854000,0000023197-19-000075,FY,2019
167435000,0000023197-19-000075,FY,2019
570589000,0000023197-19-000075,FY,2019
160844000,0000023197-19-000075,FY,2019
164133000,0000023197-19-000075,FY,2019
170448000,0000023197-19-000075,FY,2019
176372000,0000023197-19-000075,FY,2019
671797000,0000023197-19-000075,FY,2019
2432000,0001698530-19-000136,FY,2018
2695000,0001698530-19-000136,FY,2018
2497000,0001698530-19-000136,FY,2018
2095000,0001698530-19-000136,FY,2018
9719000,0001698530-19-000136,FY,2018
36000,0001698530-19-000136,FY,2018
19000,0001698530-19-000136,FY,2018
57000,0001698530-19-000136,FY,2018
6000,0001698530-19-000136,FY,2018
118000,0001698530-19-000136,FY,2018
4118000,0001654954-19-010687,FY,2019
9317000,0001654954-19-010687,FY,2019
91746000,0001144204-19-044601,FY,2019
102932000,0001144204-19-044601,FY,2019
86000,0001564590-19-035928,FY,2019
127000,0001564590-19-035928,FY,2019
33512030,0001144204-19-046264,FY,2019
7897000,0001144204-19-046264,FY,2019
33759953,0001144204-19-046264,FY,2019
8719000,0001144204-19-046264,FY,2019
8467000,0001144204-19-046264,FY,2019
8677000,0001144204-19-046264,FY,2019
7269000,0001144204-19-046264,FY,2019
31381521,0001144204-19-046264,FY,2019
8107000,0001144204-19-046264,FY,2019
8316000,0001144204-19-046264,FY,2019
7690000,0001144204-19-046264,FY,2019
2371900000,0000029644-19-000023,FY,2019
644800000,0000029644-19-000023,FY,2019
664700000,0000029644-19-000023,FY,2019
700000000,0000029644-19-000023,FY,2019
724700000,0000029644-19-000023,FY,2019
2734200000,0000029644-19-000023,FY,2019
701400000,0000029644-19-000023,FY,2019
703700000,0000029644-19-000023,FY,2019
712800000,0000029644-19-000023,FY,2019
726900000,0000029644-19-000023,FY,2019
2844900000,0000029644-19-000023,FY,2019
498481,0001607062-19-000377,FY,2019
306529,0001607062-19-000377,FY,2019
2058368000,0000055242-19-000019,FY,2019
542454000,0000055242-19-000019,FY,2019
571345000,0000055242-19-000019,FY,2019
607936000,0000055242-19-000019,FY,2019
646119000,0000055242-19-000019,FY,2019
2367853000,0000055242-19-000019,FY,2019
586687000,0000055242-19-000019,FY,2019
587394000,0000055242-19-000019,FY,2019
597204000,0000055242-19-000019,FY,2019
603949000,0000055242-19-000019,FY,2019
2375234000,0000055242-19-000019,FY,2019
1500000000,0000021076-19-000012,FY,2019
1416000000,0000021076-19-000012,FY,2019
1517000000,0000021076-19-000012,FY,2019
1691000000,0000021076-19-000012,FY,2019
5761000000,0000021076-19-000012,FY,2019
5655000000,0000021076-19-000012,FY,2019
6124000000,0000021076-19-000012,FY,2019
5973000000,0000021076-19-000012,FY,2019
2524000000,0001193125-19-219463,FY,2019
2627000000,0001193125-19-219463,FY,2019
2457000000,0001193125-19-219463,FY,2019
2466000000,0001193125-19-219463,FY,2019
2058000000,0001193125-19-219463,FY,2019
2180000000,0001193125-19-219463,FY,2019
2093000000,0001193125-19-219463,FY,2019
2693000000,0001193125-19-219463,FY,2019
10074000000,0001193125-19-219463,FY,2019
9024000000,0001193125-19-219463,FY,2019
8139000000,0001193125-19-219463,FY,2019
2295615000,0000743316-19-000024,FY,2019
575676000,0000743316-19-000024,FY,2019
622637000,0000743316-19-000024,FY,2019
648599000,0000743316-19-000024,FY,2019
633154000,0000743316-19-000024,FY,2019
2480066000,0000743316-19-000024,FY,2019
638495000,0000743316-19-000024,FY,2019
576906000,0000743316-19-000024,FY,2019
542383000,0000743316-19-000024,FY,2019
556545000,0000743316-19-000024,FY,2019
2314329000,0000743316-19-000024,FY,2019
405127000,0001193125-19-225268,FY,2019
398951000,0001193125-19-225268,FY,2019
403080000,0001193125-19-225268,FY,2019
377177000,0001193125-19-225268,FY,2019
345327000,0001193125-19-225268,FY,2019
332213000,0001193125-19-225268,FY,2019
337072000,0001193125-19-225268,FY,2019
357313000,0001193125-19-225268,FY,2019
1584335000,0001193125-19-225268,FY,2019
1371925000,0001193125-19-225268,FY,2019
1420490000,0001193125-19-225268,FY,2019
0,0001654954-19-009752,FY,2019
0,0001654954-19-009752,FY,2019
0,0001673504-19-000010,FY,2019
10500,0001673504-19-000010,FY,2019
675352000,0001469372-19-000015,FY,2019
157456000,0001469372-19-000015,FY,2019
181222000,0001469372-19-000015,FY,2019
186568000,0001469372-19-000015,FY,2019
171405000,0001469372-19-000015,FY,2019
696651000,0001469372-19-000015,FY,2019
164464000,0001469372-19-000015,FY,2019
192914000,0001469372-19-000015,FY,2019
195105000,0001469372-19-000015,FY,2019
168362000,0001469372-19-000015,FY,2019
720845000,0001469372-19-000015,FY,2019
493184000,0001049521-19-000033,FY,2019
106069000,0001049521-19-000033,FY,2019
117912000,0001049521-19-000033,FY,2019
116336000,0001049521-19-000033,FY,2019
152867000,0001049521-19-000033,FY,2019
408588000,0001049521-19-000033,FY,2019
654744000,0001049521-19-000033,FY,2019
144056000,0001049521-19-000033,FY,2019
159089000,0001049521-19-000033,FY,2019
174636000,0001049521-19-000033,FY,2019
176963000,0001049521-19-000033,FY,2019
169210,0001731122-19-000488,FY,2018
39162,0001731122-19-000488,FY,2018
41811,0001731122-19-000488,FY,2018
117772,0001731122-19-000488,FY,2018
367955,0001731122-19-000488,FY,2018
116203,0001731122-19-000488,FY,2018
17163,0001731122-19-000488,FY,2018
34149,0001731122-19-000488,FY,2018
82167,0001731122-19-000488,FY,2018
249682,0001731122-19-000488,FY,2018
NULL,0001558891-19-000064,FY,2018
NULL,0001558891-19-000064,FY,2018
3093743000,0001574815-19-000114,FY,2018
757700000,0001574815-19-000114,FY,2018
886375000,0001574815-19-000114,FY,2018
881012000,0001574815-19-000114,FY,2018
840881000,0001574815-19-000114,FY,2018
3365968000,0001574815-19-000114,FY,2018
834202000,0001574815-19-000114,FY,2018
998461000,0001574815-19-000114,FY,2018
990264000,0001574815-19-000114,FY,2018
859521000,0001574815-19-000114,FY,2018
3682448000,0001574815-19-000114,FY,2018
26830,0001262463-19-000256,FY,2018
252135,0001262463-19-000256,FY,2018
9921000000,0001564590-19-031285,FY,2019
2188000000,0001564590-19-031285,FY,2019
3108000000,0001564590-19-031285,FY,2019
2463000000,0001564590-19-031285,FY,2019
2394000000,0001564590-19-031285,FY,2019
10153000000,0001564590-19-031285,FY,2019
2541000000,0001564590-19-031285,FY,2019
3583000000,0001564590-19-031285,FY,2019
2752000000,0001564590-19-031285,FY,2019
2513000000,0001564590-19-031285,FY,2019
11389000000,0001564590-19-031285,FY,2019
2135405000,0001262976-19-000053,FY,2019
563284000,0001262976-19-000053,FY,2019
762054000,0001262976-19-000053,FY,2019
636069000,0001262976-19-000053,FY,2019
631134000,0001262976-19-000053,FY,2019
2592541000,0001262976-19-000053,FY,2019
588981000,0001262976-19-000053,FY,2019
825567000,0001262976-19-000053,FY,2019
661814000,0001262976-19-000053,FY,2019
674714000,0001262976-19-000053,FY,2019
2751076000,0001262976-19-000053,FY,2019
300010000,0001558370-19-007859,FY,2019
81500000,0001558370-19-007859,FY,2019
86004000,0001558370-19-007859,FY,2019
113407000,0001558370-19-007859,FY,2019
96616000,0001558370-19-007859,FY,2019
377527000,0001558370-19-007859,FY,2019
100504000,0001558370-19-007859,FY,2019
107204000,0001558370-19-007859,FY,2019
139552000,0001558370-19-007859,FY,2019
120373000,0001558370-19-007859,FY,2019
467633000,0001558370-19-007859,FY,2019
50304,0001445866-19-000932,FY,2018
41850,0001445866-19-000932,FY,2018
115781000,0001628280-19-009791,FY,2019
122461000,0001628280-19-009791,FY,2019
144909000,0001628280-19-009791,FY,2019
141076000,0001628280-19-009791,FY,2019
524227000,0001628280-19-009791,FY,2019
124668000,0001628280-19-009791,FY,2019
124557000,0001628280-19-009791,FY,2019
155554000,0001628280-19-009791,FY,2019
152780000,0001628280-19-009791,FY,2019
557559000,0001628280-19-009791,FY,2019
5013200000,0001558370-19-006119,FY,2018
1356300000,0001558370-19-006119,FY,2018
5474700000,0001558370-19-006119,FY,2018
1284900000,0001558370-19-006119,FY,2018
1360600000,0001558370-19-006119,FY,2018
1472900000,0001558370-19-006119,FY,2018
1381700000,0001558370-19-006119,FY,2018
5666600000,0001558370-19-006119,FY,2018
1397200000,0001558370-19-006119,FY,2018
1423200000,0001558370-19-006119,FY,2018
1464500000,0001558370-19-006119,FY,2018
933218,0001520138-19-000241,FY,2019
992670,0001520138-19-000241,FY,2019
1283751,0001213900-19-012471,FY,2018
1426969,0001213900-19-012471,FY,2018
12381741,0001062993-19-002868,FY,2019
10764904,0001062993-19-002868,FY,2019
NULL,0001477932-19-004105,FY,2018
NULL,0001477932-19-004105,FY,2018
4416705,0001144204-19-034727,FY,2018
14873189,0001144204-19-034727,FY,2018
3318237,0001144204-19-034727,FY,2018
3582816,0001144204-19-034727,FY,2018
3555431,0001144204-19-034727,FY,2018
4523930,0001144204-19-034727,FY,2018
17588040,0001144204-19-034727,FY,2018
4045996,0001144204-19-034727,FY,2018
4526252,0001144204-19-034727,FY,2018
4491862,0001144204-19-034727,FY,2018
NULL,0001477932-19-004048,FY,2018
NULL,0001477932-19-004048,FY,2018
NULL,0001165527-19-000121,FY,2019
NULL,0001165527-19-000121,FY,2019
0,0001308411-19-000026,FY,2018
0,0001308411-19-000026,FY,2018
772158,0001185185-19-000958,FY,2017
94338,0001185185-19-000958,FY,2017
0,0001393905-19-000220,FY,2018
0,0001393905-19-000220,FY,2018
NULL,0001640334-19-001306,FY,2018
NULL,0001640334-19-001306,FY,2018
2877100000000,0001193125-19-189414,FY,2019
3366500000000,0001193125-19-189414,FY,2019
3429800000000,0001193125-19-189414,FY,2019
2921063,0001144204-19-033853,FY,2018
494897,0001144204-19-033853,FY,2018
4187473000000,0001193125-19-191525,FY,2018
5194107000000,0001193125-19-191525,FY,2018
5408623000000,0001193125-19-191525,FY,2018
-390291,0001213900-19-012331,FY,2018
64133918,0001213900-19-012331,FY,2018
1474392,0001683168-19-002109,FY,2017
385628,0001683168-19-002109,FY,2017
2742102,0001580695-19-000263,FY,2018
6859767,0001580695-19-000263,FY,2018
14277000,0001213900-19-011948,FY,2019
19603000,0001213900-19-011948,FY,2019
19166000,0001213900-19-011948,FY,2019
707062,0001477932-19-003830,FY,2018
197554,0001477932-19-003830,FY,2018
107551012,0001213900-19-011825,FY,2018
96112706,0001213900-19-011825,FY,2018
NULL,0001213900-19-011850,FY,2018
NULL,0001213900-19-011850,FY,2018
2074950,0001213900-19-011905,FY,2018
1995000,0001213900-19-011905,FY,2018
19812199,0001062993-19-002758,FY,2018
32199528,0001062993-19-002758,FY,2018
933218,0001520138-19-000249,FY,2019
992670,0001520138-19-000249,FY,2019
1361188000,0000016160-19-000048,FY,2019
1502932000,0000016160-19-000048,FY,2019
1074513000,0000016160-19-000048,FY,2019
262845000,0000016160-19-000048,FY,2019
361172000,0000016160-19-000048,FY,2019
435820000,0000016160-19-000048,FY,2019
280572000,0000016160-19-000048,FY,2019
443095000,0000016160-19-000048,FY,2019
340583000,0000016160-19-000048,FY,2019
356040000,0000016160-19-000048,FY,2019
383993000,0000016160-19-000048,FY,2019
451381,0001079974-19-000376,FY,2018
377046,0001079974-19-000376,FY,2018
35191,0001753926-19-000116,FY,2018
563545,0001753926-19-000116,FY,2018
244,0001144204-19-035544,FY,2018
951,0001144204-19-035544,FY,2018
32424269,0001213900-19-013485,FY,2018
35551016,0001213900-19-013485,FY,2018
37569862,0001213900-19-013485,FY,2018
3153000000,0000723531-19-000032,FY,2019
792900000,0000723531-19-000032,FY,2019
803000000,0000723531-19-000032,FY,2019
936100000,0000723531-19-000032,FY,2019
845700000,0000723531-19-000032,FY,2019
3377700000,0000723531-19-000032,FY,2019
862800000,0000723531-19-000032,FY,2019
858900000,0000723531-19-000032,FY,2019
1070400000,0000723531-19-000032,FY,2019
980400000,0000723531-19-000032,FY,2019
3772500000,0000723531-19-000032,FY,2019
12831000,0001144204-19-036278,FY,2019
8927000,0001144204-19-036278,FY,2019
269788000,0001275187-19-000017,FY,2019
64909000,0001275187-19-000017,FY,2019
66617000,0001275187-19-000017,FY,2019
63936000,0001275187-19-000017,FY,2019
66193000,0001275187-19-000017,FY,2019
261655000,0001275187-19-000017,FY,2019
63943000,0001275187-19-000017,FY,2019
69985000,0001275187-19-000017,FY,2019
65524000,0001275187-19-000017,FY,2019
71182000,0001275187-19-000017,FY,2019
270634000,0001275187-19-000017,FY,2019
49604000000,0001751788-19-000025,FY,2018
3014108000,0001564590-19-027053,FY,2019
848237000,0001564590-19-027053,FY,2019
871266000,0001564590-19-027053,FY,2019
841657000,0001564590-19-027053,FY,2019
1020460000,0001564590-19-027053,FY,2019
3581620000,0001564590-19-027053,FY,2019
988107000,0001564590-19-027053,FY,2019
958226000,0001564590-19-027053,FY,2019
874381000,0001564590-19-027053,FY,2019
938842000,0001564590-19-027053,FY,2019
